id,label,title,color,size,type,in_degree,out_degree
tests/coruja/htmlcov/z_6237c1be8d4fbac7___init___py.html,z_6237c1be8d4fbac7___init___py.html,tests/coruja/htmlcov/z_6237c1be8d4fbac7___init___py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_72b5c5b7b5daa5d4_exceptions_py.html,z_72b5c5b7b5daa5d4_exceptions_py.html,tests/coruja/htmlcov/z_72b5c5b7b5daa5d4_exceptions_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_72b5c5b7b5daa5d4___init___py.html,z_72b5c5b7b5daa5d4___init___py.html,tests/coruja/htmlcov/z_72b5c5b7b5daa5d4___init___py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_78a1067f2ae6365d_zendesk_analyzer_handler_py.html,z_78a1067f2ae6365d_zendesk_analyzer_handler_py.html,tests/coruja/htmlcov/z_78a1067f2ae6365d_zendesk_analyzer_handler_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_78a1067f2ae6365d___init___py.html,z_78a1067f2ae6365d___init___py.html,tests/coruja/htmlcov/z_78a1067f2ae6365d___init___py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_95f38aa90d0b1953_test_ETHIK-BACKUP-001_sistema_backup_py.html,z_95f38aa90d0b1953_test_ETHIK-BACKUP-001_sistema_backup_py.html,tests/coruja/htmlcov/z_95f38aa90d0b1953_test_ETHIK-BACKUP-001_sistema_backup_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_95f38aa90d0b1953_test_ETHIK-VERIFY-001_verificacao_migracao_py.html,z_95f38aa90d0b1953_test_ETHIK-VERIFY-001_verificacao_migracao_py.html,tests/coruja/htmlcov/z_95f38aa90d0b1953_test_ETHIK-VERIFY-001_verificacao_migracao_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_95f38aa90d0b1953_test_sanitizer_mycelium_py.html,z_95f38aa90d0b1953_test_sanitizer_mycelium_py.html,tests/coruja/htmlcov/z_95f38aa90d0b1953_test_sanitizer_mycelium_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_95f38aa90d0b1953_test_service_py.html,z_95f38aa90d0b1953_test_service_py.html,tests/coruja/htmlcov/z_95f38aa90d0b1953_test_service_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_95f38aa90d0b1953_test_validator_alerts_py.html,z_95f38aa90d0b1953_test_validator_alerts_py.html,tests/coruja/htmlcov/z_95f38aa90d0b1953_test_validator_alerts_py.html,#1f77b4,10,html,0,0
